Prefixes,Suffixes,Compounds,Compounds split in 2,Familiar Words (DaleChall),
,,schoolgirl,
,,science,
,,scissors,
,,scoop,
,,scooter,
,,score,
,,scout,
,,scrap,
,,scratch,
,,scream,
,,screen,
,,screw,
,,scrub,
,,sea,
,,seal,
,,seam,
,,search,
,,seashore,
,,season,
,,seat,
,,second,
,,secret,
,,see,
,,seed,
,,seem,
,,seen,
,,seesaw,
,,selection,
,,self,
,,selfish,
,,sell,
,,selves,
,,send,
,,sense,
,,sensible,
,,sent,
,,sentence,
,,separate,
,,servant,
,,serve,
,,service,
,,set,
,,settle,
,,seven,
,,seventeen,
,,seventh,
,,seventy,
,,several,
,,sew,
,,shade,
,,shadow,
,,shady,
,,shake,
,,shall,
,,shame,
,,shampoo,
,,shape,
,,share,
,,sharp,
,,shave,
,,she,
,,she'd,
,,she'll,
,,sheep,
,,sheet,
,,shelf,
,,shell,
,,shelves,
,,shepherd,
,,shine,
,,shiny,
,,ship,
,,shipment,
,,shirt,
,,shock,
,,shoe,
,,shoemaker,
,,shook,
,,shoot,
,,shop,
,,shore,
,,short,
,,shortness,
,,shot,
,,should,
,,shoulder,
,,shouldn't,
,,shout,
,,shove,
,,shovel,
,,show,
,,shower,
,,shown,
,,shut,
,,shutter,
,,shy,
,,sick,
,,sickness,
,,side,
,,sidewalk,
,,sigh,
,,sight,
,,sign,
,,silence,
,,silent,
,,silk,
,,sill,
,,silly,
,,silver,
,,simple,
,,sin,
,,since,
,,sing,
,,single,
,,sink,
,,sip,
,,sister,
,,sit,
,,six,
,,sixteen,
,,sixth,
,,sixty,
,,size,
,,skate,
,,ski,
,,skin,
,,skip,
,,skirt,
,,skunk,
,,sky,
,,skyscraper,
,,slam,
,,slap,
,,slave,
,,sled,
,,sleep,
,,sleepy,
,,sleeve,
,,sleigh,
,,slept,
,,slice,
,,slid,
,,slide,
,,slim,
,,slip,
,,slipper,
,,slippery,
,,slosh,
,,slow,
,,slowly,
,,sly,
,,small,
,,smart,
,,smash,
,,smell,
,,smile,
,,smog,
,,smoke,
,,smoky,
,,smooth,
,,snack,
,,snail,
,,snake,
,,snap,
,,sneeze,
,,sniff,
,,snow,
,,snowball,
,,snowflake,
,,snowy,
,,snug,
,,soak,
,,soap,
,,social,
,,sock,
,,soda,
,,sofa,
,,soft,
,,softball,
,,soil,
,,sold,
,,soldier,
,,solid,
,,solve,
,,some,
,,somebody,
,,someone,
,,something,
,,sometime,
,,somewhere,
,,son,
,,song,
,,soon,
,,sore,
,,sorrow,
,,sorry,
,,sort,
,,soul,
,,sound,
,,soup,
,,sour,
,,south,
,,southern,
,,space,
,,spaceship,
,,spade,
,,spaghetti,
,,spank,
,,spark,
,,sparrow,
,,speak,
,,spear,
,,special,
,,speck,
,,speech,
,,speed,
,,speedometer,
,,spell,
,,spend,
,,spice,
,,spider,
,,spill,
,,spin,
,,spirit,
,,spit,
,,splash,
,,split,
,,spoil,
,,spoke,
,,sponge,
,,spook,
,,spooky,
,,spool,
,,spoon,
,,sport,
,,spot,
,,sprain,
,,spray,
,,spread,
,,spring,
,,sprinkle,
,,spy,
,,square,
,,squash,
,,squeak,
,,squeaky,
,,squeal,
,,squeeze,
,,squirrel,
,,stab,
,,stable,
,,stack,
,,stage,
,,stair,
,,stale,
,,stalk,
,,stamp,
,,stand,
,,star,
,,starch,
,,stare,
,,start,
,,starve,
,,state,
,,states,
,,station,
,,statue,
,,stay,
,,steak,
,,steal,
,,steam,
,,steel,
,,steep,
,,steeple,
,,steer,
,,step,
,,stepfather,
,,stepmother,
,,stereo,
,,stew,
,,stick,
,,sticky,
,,stiff,
,,still,
,,sting,
,,stink,
,,stir,
,,stitch,
,,stock,
,,stocking,
,,stole,
,,stolen,
,,stomach,
,,stone,
,,stood,
,,stool,
,,stoop,
,,stop,
,,stoplight,
,,store,
,,storeroom,
,,stork,
,,storm,
,,stormy,
,,story,
,,storyteller,
,,stove,
,,straight,
,,straighten,
,,strange,
,,strap,
,,straw,
,,strawberry,
,,stream,
,,street,
,,strength,
,,stretch,
,,strike,
,,string,
,,strip,
,,stripe,
,,strong,
,,stuck,
,,student,
,,studio,
,,study,
,,stuff,
,,stumble,
,,stung,
,,stunt,
,,style,
,,subject,
,,submarine,
,,subtract,
,,subtraction,
,,such,
,,suck,
,,sudden,
,,suddenly,
,,suffer,
,,sugar,
,,suit,
,,sum,
,,summer,
,,sun,
,,sunbeam,
,,sunburn,
,,sundown,
,,sunflower,
,,sung,
,,sunk,
,,sunken,
,,sunlight,
,,sunrise,
,,sunset,
,,sunshine,
,,supper,
,,suppose,
,,sure,
,,surface,
,,surfboard,
,,surgeon,
,,surprise,
,,surround,
,,surroundings,
,,suspect,
,,swallow,
,,swam,
,,swamp,
,,swan,
,,swear,
,,sweat,
,,sweater,
,,sweep,
,,sweepstakes,
,,sweet,
,,sweeten,
,,sweetheart,
,,sweetness,
,,swell,
,,swept,
,,swift,
,,swim,
,,swing,
,,switch,
,,sword,
,,syllable,
,,table,
,,tablespoon,
,,tablet,
,,tack,
,,taffy,
,,tail,
,,tailor,
,,take,
,,taken,
,,tale,
,,talk,
,,tall,
,,tame,
,,tan,
,,tangle,
,,tank,
,,tap,
,,tape,
,,tar,
,,taste,
,,tattle,
,,tattletale,
,,tattoo,
,,taught,
,,tax,
,,taxpayer,
,,tea,
,,teach,
,,teacher,
,,team,
,,teapot,
,,tear,
,,tease,
,,teaspoon,
,,teeth,
,,telegram,
,,telephone,
,,telescope,
,,television,
,,tell,
,,temper,
,,temperature,
,,ten,
,,tend,
,,tender,
,,tennis,
,,tent,
,,tenth,
,,term,
,,terrible,
,,test,
,,than,
,,thank,
,,thankful,
,,that,
,,that's,
,,the,
,,theater,
,,their,
,,them,
,,then,
,,there,
,,there's,
,,thermometer,
,,these,
,,they,
,,they'd,
,,they'll,
,,they're,
,,they've,
,,thick,
,,thief,
,,thin,
,,thing,
,,think,
,,third,
,,thirst,
,,thirsty,
,,thirteen,
,,thirty,
,,this,
,,thorn,
,,those,
,,thought,
,,thoughtful,
,,thoughtless,
,,thousand,
,,thread,
,,three,
,,threw,
,,throat,
,,throne,
,,through,
,,throw,
,,thrown,
,,thumb,
,,thunder,
,,tick,
,,tick-tock,
,,ticket,
,,tickle,
,,tiddlywinks,
,,tie,
,,tiger,
,,tight,
,,till,
,,timber,
,,time,
,,tin,
,,tinkle,
,,tiny,
,,tiptoe,
,,tire,
,,tissue,
,,title,
,,to,
,,toad,
,,toast,
,,tobacco,
,,today,
,,toe,
,,together,
,,toilet,
,,told,
,,tomato,
,,tomorrow,
,,ton,
,,tone,
,,tongue,
,,tonight,
,,too,
,,took,
,,tool,
,,tooth,
,,toothbrush,
,,toothpaste,
,,top,
,,tore,
,,torn,
,,tornado,
,,torpedo,
,,tortoise,
,,toss,
,,total,
,,touch,
,,toward,
,,towel,
,,town,
,,toy,
,,trace,
,,track,
,,tractor,
,,trade,
,,traffic,
,,trail,
,,train,
,,tramp,
,,trap,
,,trash,
,,travel,
,,tray,
,,treasure,
,,tree,
,,trespass,
,,trick,
,,tricycle,
,,trim,
,,trip,
,,trombone,
,,troop,
,,trophy,
,,trouble,
,,truck,
,,true,
,,truly,
,,trumpet,
,,trunk,
,,trust,
,,truth,
,,truthful,
,,try,
,,tub,
,,tube,
,,tug,
,,tulip,
,,tumble,
,,tune,
,,tunnel,
,,turkey,
,,turn,
,,turnip,
,,turtle,
,,twelve,
,,twenty,
,,twice,
,,twig,
,,twin,
,,twist,
,,two,
,,type,
,,typewriter,
,,ugly,
,,umbrella,
,,umpire,
,,uncle,
,,under,
,,underline,
,,undershirt,
,,understand,
,,underwear,
,,undress,
,,uneducated,
,,unemployed,
,,unfair,
,,unfasten,
,,unfinished,
,,unfold,
,,unfurnished,
,,unhappy,
,,uniform,
,,united,
,,unkind,
,,unknown,
,,unnecessary,
,,unsafe,
,,untie,
,,until,
,,untrue,
,,unwilling,
,,unwise,
,,unwrap,
,,up,
,,upon,
,,upper,
,,upset,
,,upside-down,
,,upstairs,
,,uptown,
,,upward,
,,us,
,,use,
,,useful,
,,usher,
,,vacant,
,,vacation,
,,valley,
,,valuable,
,,value,
,,vanish,
,,varnish,
,,vase,
,,vegetable,
,,velvet,
,,verse,
,,very,
,,vessel,
,,vest,
,,vice-president,
,,view,
,,village,
,,vine,
,,violet,
,,violin,
,,visit,
,,visitor,
,,vitamin,
,,voice,
,,volleyball,
,,vote,
,,waffle,
,,wag,
,,wagon,
,,waist,
,,wait,
,,waiter,
,,wake,
,,waken,
,,walk,
,,wall,
,,wallet,
,,walnut,
,,wander,
,,want,
,,war,
,,warm,
,,warmth,
,,warn,
,,wart,
,,was,
,,wash,
,,washer,
,,washroom,
,,wasn't,
,,wasp,
,,waste,
,,watch,
,,watchdog,
,,water,
,,waterfall,
,,watermelon,
,,waterproof,
,,wave,
,,wax,
,,way,
,,we,
,,we'll,
,,we're,
,,weak,
,,weaken,
,,weakness,
,,wealth,
,,weapon,
,,wear,
,,weather,
,,weave,
,,web,
,,wedding,
,,wee,
,,weed,
,,week,
,,weekdays,
,,weekend,
,,weep,
,,weigh,
,,weight,
,,welcome,
,,well,
,,went,
,,were,
,,weren't,
,,west,
,,western,
,,wet,
,,whale,
,,what,
,,wheat,
,,wheel,
,,wheelbarrow,
,,when,
,,where,
,,where's,
,,which,
,,while,
,,whip,
,,whirl,
,,whirlpool,
,,whirlwind,
,,whisker,
,,whisper,
,,whistle,
,,white,
,,whiteness,
,,who,
,,who's,
,,whole,
,,whom,
,,whooping,
,,whose,
,,why,
,,wicked,
,,wide,
,,wide-awake,
,,wife,
,,wigwam,
,,wild,
,,wildcat,
,,wildlife,
,,will,
,,willing,
,,willow,
,,win,
,,wind,
,,window,
,,windowpane,
,,windy,
,,wine,
,,wing,
,,wink,
,,winter,
,,wipe,
,,wire,
,,wise,
,,wish,
,,witch,
,,with,
,,without,
,,woke,
,,wolf,
,,wolves,
,,woman,
,,women,
,,won,
,,won't,
,,wonder,
,,wonderful,
,,wood,
,,woodchuck,
,,wooden,
,,woodpecker,
,,woods,
,,woof,
,,wool,
,,woolen,
,,word,
,,wore,
,,work,
,,workman,
,,world,
,,worm,
,,worn,
,,worry,
,,worse,
,,worst,
,,worth,
,,would,
,,wouldn't,
,,wound,
,,wrap,
,,wreck,
,,wren,
,,wrist,
,,write,
,,written,
,,wrong,
,,wrote,
,,x-mas,
,,x-ray,
,,yard,
,,yarn,
,,yawn,
,,year,
,,yell,
,,yellow,
,,yellowish,
,,yes,
,,yesterday,
,,yet,
,,yolk,
,,yonder,
,,you,
,,you'd,
,,you'll,
,,young,
,,youngster,
,,your,
,,yourself,
,,youth,
,,zebra,
,,zero,
,,zone,
,,zoo,
